okato;Субсидии на ГЗ из местных бюджетов;Субсидии на ГЗ из федерального бюджета;Субсидии на НИОКР из местного бюджета;Субсидии на НИОКР из федерального бюджета;Гранты из местного бюджета;Гранты из федерального бюджета;Гранты из прочих источников;Конкурсное финансирование из местного бюджета;Конкурсное финансирование из федерального бюджета;Конкурсное финансирование из прочих источников
1000000000;4853,7;151428,9;0;111490,7;4771;38493,3;0;3848,8;135930,7;7494
3000000000;4986;473810;1986,2;83328,5;69321;18770;0;10339,3;2399;45896,8
4000000000;0;789836,7;4483,9;367127,5;26258,8;208412,7;0;6116,6;135887;81352,6
5000000000;20;2609402,1;23246,1;202671,1;16971,6;120107,1;0;260,8;25615,4;434937,3
7000000000;16107,2;164127,2;1803,5;23146,1;200;17333,9;0;900;1200;11334,8
8000000000;76433;467521,9;192,6;21592;0;17492,8;0;1172,2;2255;4641,7
10000000000;120;270007,5;350;0;4792,4;17710,5;0;0;690;33469
11001000000;32533,7;203981,3;3500;53512;11,3;31780,8;0;0;37835;4823,8
11100000000;0;3006,4;0;0;0;0;0;0;0;0
12000000000;0;251396,1;3439;11385,5;350;19103,2;0;0;958;2039,7
14000000000;1133,1;215848,4;260;13360,1;33800;122988;0;3147,6;720;16137,4
15000000000;0;46998,6;0;2150;0;7430;0;0;67300;0
17000000000;0;272138,5;182,8;41118,7;5228,6;32784,6;0;2566;285201,9;37315,5
18000000000;53367,6;80600,7;900;2200,8;9161,9;87705,8;0;13025;0;5651,5
19000000000;0;72161,3;0;3850;0;12057,5;0;378,2;1095;4380,7
20000000000;23896,8;305228,8;0;756822,7;7171,1;89919,8;0;45315,3;694699,7;306930,8
22000000000;22982;1161310,7;3606;490011,5;106531,8;474866,9;0;26384,3999999999;1637721;290774,3
24000000000;0;220735,3;0;0;42200;24307,6;0;535;240;38817
25000000000;0;1681890,7;0;43615;0;216376,7;0;0;27703,1;162577,8
27000000000;0;266689,6;0;25378,3;0;53970,8;0;360;0;0
28000000000;3148,4;107450,1;565,3;72555,1;191;1881;0;0;22018,2;34204
29000000000;0;598805,1;0;412745,9;0;6699,2;0;0;402306,5;5093
30000000000;0;371036;0;700;430;36427,5;0;0;0;1118,9
32000000000;1670,4;157287,1;0;13160;21008,5;60065,9;0;1153,5;5438,1;2027,6
33000000000;0;89638,9;4286,8;2370;4241;5981;0;660;215192,1;126,8
34000000000;0;6303,4;0;0;240;23785;0;0;600;1239,2
35000000000;240415,1;148636,6;102487,2;3752,5;0;229653,1;0;0;0;0
36000000000;18862,8;480149;87895,0000000001;504144,8;109124,4;135821,3;0;66821,6;822226,5;98893,7
37000000000;2975;88189,7;0;0;600;1830;0;48;0;0
38000000000;0;76543;1554,8;7020,1;3908;1350;0;0;1109,2;44909,8
40000000000;173462,100000001;7156674,1;5431,8000000001;2084056,9;99575,6000000001;2288966,1;0;14794,5;4977724,9;1098399,8
41000000000;0;1056948,2;0;31000;0;92817,9;0;0;9300;0
42000000000;3043,3;24918,1;0;0;1920;3150;0;0;0;0
44000000000;0;196740,6;0;227544,3;0;317,7;0;0;0;0
45000000000;692303,700000003;45194849;272203,699999999;10798087,9;263635,899999998;10726498,3;0;464459,200000003;45217755,8;3332247,2
46000000000;53393,4000000004;4977054;45385;9616898,5;71331,2000000001;574643,1;0;59750;9718489,1;125889
47000000000;157175,2;848301,1;1583,4;84648,1;17409,3;38471,4;0;7064,1;0;5394,5
49000000000;0;0;0;0;0;150;0;0;121242,7;0
50000000000;3511,9000000004;5251323;9515;1086291,1;130,2;1966754;0;622,5;276527;417713,9
52000000000;2927;258130;0;48096,9;555;45004;0;4044,1;340685,4;24463,2
53000000000;27690,1;138891,9;8216,8;1560;22626;16681,2;0;9370,5;6036,7;8998,1
54000000000;200;95008,3;0;110433,1;0;0;0;0;300;900
56000000000;0;32365,7;0;32128;50;39198,2;0;1389,3;14350,1;4522,7
57000000000;64434,4;542792,7;2956,5;239888,1;106387,8;63917,4;0;7856,9;226057;116887,2
58000000000;1430;15951,2;0;2142,8;0;0;0;0;0;1330
60000000000;100706;462245,2;160617,1;45342,4;160539,9;71454,1;0;137093,4;926288,7;170332,3
61000000000;0;78954,6;0;76963;0;31087,5;0;0;20006,8;0
63000000000;0;289930,1;0;16152,8;46137,1;144175;0;0;581340,6;1570
64000000000;0;439623;0;0;0;6528,4;0;0;4500;0
65000000000;22268,2;1821130,7;323382,4;341155,6;16600,1;116192,9;0;9236,5;174196,7;189258
66000000000;0;15503,3;0;9750;3240;6390;0;1430,3;8218,5;17264,9
67000000000;61383,9;344676,7;0;0;0;7262,5;0;0;46990,2;0
68000000000;165;94895,5;661,2;43956,3;38329;27138,1;0;30613,8;820,1;0
69000000000;11105;1904683,8;0;1415072,4;23605;579267,4;0;7150,9;673310,2;377096,8
70000000000;0;49051;0;33550;1559,1;24263,8;0;60;189973,2;0
71001000000;0;275959;0;12392,6;3716,3;36439,1;0;999,5;202738,6;67691,1
71100000000;275572,5;5733,1;1804,3;0;4005;1030;0;0;0;0
73000000000;0;64928,7;5000;17057,6;0;41484,7;0;0;159205;94996,3
75000000000;0;0;3558,8999999999;2492578;26720;21720,4;0;710;240;78119
76000000000;3145;28303;0;3000;300;1550;0;52;480;1920,2
77000000000;0;0;0;0;0;200;0;0;0;0
78000000000;3630;356613,3;901;121559,5;361,2;116911,7;0;1464;335315,6;110147,4
79000000000;0;8189,4;7266,1;0;0;5450;0;0;1554,7;1010
80000000000;77528,6000000001;575325,2;6292,5;47988,5;18445,2;158981,8;0;11519,1;243266,2;51562,2
81000000000;946;625422,6;0;11176,2;3752,6;18798,8;0;522,1;3882,1;0
82000000000;2794;310709,6;1353,6;67092,6;1350;14665,4;0;950;1920;38824,9
83000000000;916,4;256514,2;4268,9;840;500;11848;0;3274,2;31441,2;46073,5
84000000000;0;11627,2;0;3789,9;6996;0;0;722;0;7198,8
85000000000;14276,6;0;0;0;350;4700;0;0;0;0
86000000000;0;549751,1;0;69244,9;13574;57851,2;0;0;600;7017,5
87000000000;0;844089,4;14537,8;16078,8;361;8264,3;0;2601;9524,1;21052,8
88000000000;0;16355,1;0;20925,9;5382,2;11740;0;6000,2;0;2135,8
89000000000;0;33465,5;10705;51138;0;10851,7;0;1618,3;0;128083,6
90000000000;180;87496,1;200;0;500;3553;0;680;33204,8;2464,1
91000000000;1661,6;191645,3;2120;0;1004;175914,5;0;720;58500;0
92000000000;81949;690279,9;41406,7;226342,1;22598,1;469240,2;0;13480,5;816267,5;46391,7
93000000000;11507,4;132730,7;0;2189,4;0;4610;0;2310,9;0;2533
94000000000;17637,2;154377,8;0;14343,5;0;705,1;0;1561,4;1158;23897,1
95000000000;26919;2584,1;0;1200;1613,9;7274,9;0;1791,3;0;0
96000000000;0;1994,2;0;0;445;1878;0;0;0;0
97000000000;0;4670,7;0;31575,9;318,9;18221,5;0;0;201861,7;3179,4
98000000000;218723;1245978,4;59454,5;86745,9;0;48324,4;0;20364,9;0;5648,3
