Год;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Все население;69,19;64,52;65,34;65,23;64,95;64,84;65,31;65,37;66,69;67,61;67,99;68,78;68,94;69,8314948470864;70,24;70,76;70,93;71,39;71,87;72,7;72,91;73,34
Все мужчины;63,73;58,12;59,03;58,92;58,68;58,53;58,91;58,92;60,43;61,46;61,92;62,87;63,09;64,0398828384499;64,56;65,13;65,29;65,92;66,5;67,51;67,75;68,24
Все женщины;74,3;71,59;72,26;72,17;71,9;71,85;72,36;72,47;73,34;74,02;74,28;74,79;74,88;75,6055515716791;75,86;76,3;76,47;76,71;77,06;77,64;77,82;78,17
Все городское население;69,55;64,7;65,69;65,57;65,4;65,36;65,87;66,1;67,43;68,37;68,77;69,57;69,69;70,5091496856634;70,83;71,33;71,44;71,91;72,35;73,16;73,34;73,72
Все городское население мужчины;64,31;58,3;59,35;59,23;59,09;59,01;59,42;59,58;61,12;62,2;62,67;63,65;63,82;64,6689797532832;65,1;65,64;65,75;66,38;66,91;67,9;68,11;68,56
Все городское население женщины;74,34;71,64;72,46;72,37;72,18;72,2;72,73;72,99;73,88;74,54;74,83;75,34;75,39;76,1034585609352;76,27;76,7;76,83;77,09;77,38;77,96;78,09;78,41
Все сельское население;67,97;63,99;64,34;64,25;63,68;63,34;63,77;63,45;64,74;65,59;65,93;66,67;66,92;67,9943701715407;68,61;69,18;69,49;69,9;70,5;71,38;71,67;72,21
Все сельское население мужчины;62,03;57,64;58,14;58,07;57,54;57,2;57,56;57,22;58,69;59,57;60;60,86;61,19;62,3996055211914;63,12;63,75;64,07;64,67;65,36;66,43;66,75;67,36
Все сельское население женщины;73,95;71,4;71,66;71,57;71,09;70,81;71,27;71,06;71,86;72,56;72,77;73,27;73,42;74,2082906191837;74,66;75,13;75,43;75,59;76,07;76,66;76,93;77,39
